university,age,college,gender,experience,department,degrees,skills
Benha University,0,Computer Science,Male,1,Medical Informatics,Bachelor's,"['Python', 'FastAPI', 'Supabase', 'PostgreSQL', 'Prisma', 'Pytest', 'BeautifulSoup', 'Selenium', 'Git', 'GitHub Actions', 'Azure', 'AWS', 'Runpod', 'Docker', 'Pandas', 'Numpy', 'Matplotlib', 'Seaborn', 'Sklearn', 'Tensorflow', 'Pytorch', 'OpenCV', 'LangChain', 'LangGraph', 'HuggingFace Libraries', 'Transformer', 'Datasets', 'Accelerate', 'Unsloth', 'OpenAI API', 'Llama_parse', 'Qdrant', 'Pinecone']"
"Arab Academy for Science, Technology and Maritime Transport",22,Computer Science,Male,2,Artificial Intelligence,Bachelor's,"['Python', 'C++', 'JavaScript', 'R', 'PyTorch', 'TensorFlow', 'Hugging Face', 'LangChain', 'RAG', 'OpenCV', 'scikit-learn', 'Keras', 'NVIDIA NeMo', 'LLMOps', 'Pandas', 'NumPy', 'Plotly', 'NLP', 'Docker', 'Kubernetes', 'Git', 'CI/CD', 'AWS', 'GCP', 'Kubeflow', 'ROS/ROS2', 'Gazebo', 'SLAM', 'Arduino', 'IoT', 'Computer Vision', 'Flask', 'FastAPI', 'Node.js', 'Linux', 'VS Code', 'Jupyter']"
Al-Azhar University,23,Engineering,Female,0,Systems and Computer,Bachelor's,"['Data Analysis', 'Visualization', 'Machine Learning', 'NLP', 'Language Models', 'TensorFlow', 'Scikit-learn', 'FastAPI', 'Docker', 'Gradio', 'RAG', 'AI Integration', 'Git/GitHub']"
Cairo University,23,Engineering,Male,0,Systems and Biomedical Engineering,Bachelor's,"['TensorFlow', 'PyTorch', 'Scikit-learn', 'Lightning AI', 'Python', 'C', 'C++', 'C#', 'Java', 'Bash', 'Java Script', 'Flask', 'NodeJs']"
Ain Shams University,21,Computer Science,Male,1,Computer & Information Sciences,Bachelor's,"['Python', 'SQL', 'Java', 'Javascript', 'C++', 'C#', 'R', 'Shell Scripting', 'LangChain', 'AutoGen', 'Pandas', 'Numpy', 'TensorFlow', 'PyTorch', 'OpenAI', 'Scikit-learn', 'Retrieval-Augmented Generation (RAG)', 'Fine-Tuning', 'Vector Databases', 'Hugging Face', 'AWS', 'Kaggle', 'Google Colab', 'GitHub', 'AI Backend Development', 'Database Integration', 'Data Visualization', 'Model Evaluation', 'Cloud Computing (AWS, Google AI)']"
Cairo University,0,Computer Science,Female,1,AI,Master's,"['Pandas', 'Numpy', 'Matplotlib', 'Seaborn', 'Scikit-learn', 'OpenCV', 'SpaCy', 'NLTK', 'Transformers', 'Keras', 'TensorFlow', 'PyTorch', 'Python', 'SQL', 'Power BI', 'Tableau', 'Excel', 'Google Data Studio', 'C++', 'C#', 'C', 'R', 'HTML', 'CSS', 'BeautifulSoup', 'Selenium', 'Flask', 'Streamlit', 'AWS EC2', 'VPS', 'FastAPI', 'Git', 'GitHub', 'Robotics', 'Arduino Programming', 'Shell Scripting']"
Egypt-Japan of Science and Technology,0,Engineering,Female,0,Computer Science and Engineering,Bachelor's,"['Python', 'C++', 'C#', 'Javascript', 'TensorFlow', 'PyTorch', 'MindSpore', 'scikit-learn', 'Pandas', 'NumPy', 'Matplotlib', 'Seaborn', 'CNN', 'RNN', 'NLP', 'Transformers', 'Generative AI (Hugging Face, RAG)', 'OpenCV', 'Image Segmentation', 'Object Detection', 'Feature Extraction', 'Microsoft Azure', 'Docker', 'RESTful APIs', 'ASP.NET Core', 'AngularJs', 'Git', 'GitHub', 'Agile Development', 'Unit Testing', 'MySQL', 'MongoDB', 'PostgreSQL', 'Tableau', 'Power BI', 'Windows', 'Linux']"
Helwan University,0,Computer Science,Male,0,Computers and Artificial Intelligence,Bachelor's,"['Python', 'C/C++', 'Java', 'HTML/CSS', 'SQL', 'Data Modeling', 'ETL using SSIS', 'SSAS', 'spark', 'Numpy', 'Pandas', 'scikit-learn', 'TensorFlow', 'openCV', 'Flask API', 'PowerBI', 'Looker Studio', 'Matplotlib', 'seaborn', 'Solid principles', 'OOP', 'Data structure', 'OCL', 'Clean Code', 'Docker', 'Postman', 'HuggingFace', 'YOLO v8', 'Tkinter']"
Alexandria University,0,Engineering,Male,1,Computer and Communications Engineering,Bachelor's,"['Python', 'Pandas', 'NumPy', 'Matplotlib', 'Torch', 'Java', 'C/C++', 'MySQL', 'JavaScript', 'HTML/CSS', 'PHP', 'Matlab', 'VHDL', 'Pytorch', 'TensorFlow', 'Scikit-learn', 'Keras', 'React-Node.js', 'Spring', 'Docker', 'Kubernetes', 'GitLab CI', 'Proteus', 'Multisim', 'NLP', 'LLms', 'Machine Learning', 'Neural Networks', 'Deep Learning', 'Computer Vision', 'Artificial Intelligence', 'Object Oriented Programming (OOP)', 'SOLID principles', 'Design Patterns', 'Operating Systems', 'Agile Software Development', 'Data structure and Algorithms', 'Databases', 'Problem Solving']"
Helwan University,25,Engineering,Male,4,Computer Engineering,Bachelor's,"['Python', 'Pandas', 'NumPy', 'Matplotlib', 'PyQt', 'OpenCV', 'Scikit-learn', 'TensorFlow', 'PyTorch', 'R', 'Dplyr', 'Ggplot2', 'Tidyr', 'MATLAB', 'Octave', 'GPT', 'Mistral', 'LLaMA', 'APIs', 'Prompt engineering', 'LangChain', 'Microsoft Power BI', 'Tableau', 'SQL', 'SQLite', 'PostgreSQL', 'Microsoft Access', 'Microsoft Excel', 'Google Docs', 'LibreOffice Calc', 'C++', 'C', 'Java', 'Bash scripting', 'Assembly language', 'Lua', 'Prolog', 'ChatGPT', 'DALL-E', 'Gemini', 'Claude', 'Midjourney', 'Docker', 'Kubernetes', 'Kubeflow', 'HTML', 'CSS', 'RESTful API', 'Spring Boot', 'Flask', 'Git', 'GitHub', 'Adobe Photoshop', 'CapCut', 'Arduino', 'Microsoft Office', 'Google Workspace']"
"Arab Academy for Science, Technology & Maritime Transport",0,Computer Science,Female,1,Computer Science,MS,"['Python', 'C', 'C++', 'Java', 'JavaScript', 'HTML', 'CSS', 'SQL', 'NoSQL', 'JSON', 'Feature Engineering', 'Data preparation', 'Visualization', 'NlP', 'Computer Vision', 'ML pipeline', 'Numerical Optimization', 'Tensor Flow', 'Sklearn', 'PyTorch', 'NLTK', 'Seaborn', 'Matplotlib', 'Dash', 'PowerBI', 'Tableau', 'MongoDB', 'Spark', 'GCP', 'AWS', 'docker', 'Flask', 'Postman API']"
Alexandria University,0,Other,Male,2,Data Science,Bachelor's,"['Python', 'R', 'SQL', 'Java', 'NLP', 'Scikit-learn', 'TensorFlow', 'PyTorch', 'Azure Cloud', 'Git', 'Jupyter Notebook', 'Docker', 'Power BI', 'Excel', 'Object-Oriented Programming (OOP)', 'Data Structures']"
Tanta University,0,Engineering,Male,0,Computer Engineering and Automatic Control,Bachelor's,"['Python', 'SQL', 'Data Science', 'Git', 'Machine Learning', 'Natural Language Processing', 'Computer Vision']"
Cairo University,0,Engineering,Male,0,Computer Engineering,Bachelor's,"['Java', 'Python', 'C/C++', 'SQL', 'MongoDb', 'Scikit-learn', 'XGBoost', 'Scipy', 'Tensoflow', 'Keras', 'Pytorch', 'Transformers', 'Spacy', 'Scikit-image', 'Numpy', 'Pandas', 'Matplotlib', 'Seaborn', 'Plotly', 'Git', 'Linux', 'Docker', 'Azure', 'Langchain', 'Llama-index', 'Hugging Face', 'FastAPI', 'Streamlit']"
Egypt Japan University of Science and Technology,0,Computer Science,Male,1,Computer Science Engineering,Bachelor's,"['Python', 'C', 'C++', 'R', 'JavaScript', 'TypeScript', 'SQL', 'RAG', 'Ollama', 'Feature Engineering', 'Model Training & Evaluation', 'Data Modeling', 'Database Design', 'Git', 'NLP', 'Pandas', 'NumPy', 'TensorFlow', 'PyTorch', 'Linux', 'OpenCV', 'Azure', 'MLﬂow', 'Tailwind', 'Django', 'NextJS', 'YOLO']"
Alexandria University,0,Engineering,Male,1,Mechanical Engineering,Bachelor's,"['Python', 'java', 'C#', 'SQL', 'Pandas', 'PySpark', 'Airflow', 'Matplotlib', 'Seaborn', 'Plotly', 'tableau', 'Scikit Learn', 'Tensor-Flow', 'PyTorch', 'AWS services', 'GCP services', 'Dash', 'Flask', 'Fast', 'Streamlit', 'NLP', 'Computer Vision', 'Generative Adversarial Networks(GANs)', 'Recommender Systems', 'Web scrabbing', 'Data acquisition and cleaning', 'PostegreSQL', 'BigQuery', 'Mongo DB', 'Linux(RedHat 1) Administration', 'Docker']"
Ain Shams University,22,Computer Science,Female,1,Computer Science and Information Technology,Bachelor's,"['Python', 'SQL', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'NLTK', 'spaCy', 'OpenCV', 'NLP', 'Retrieval-Augmented Generation (RAG)', 'Model Fine-tuning', 'LLM', 'MongoDB', 'Flask']"
"Arab Academy for Science, Technology & Maritime Transport",24,Computer Science,Female,2,Data Science,Bachelor's,"['C', 'C++', 'C#', 'Python', 'R', 'SQL', 'HTML 5', 'CSS', 'JavaScript', 'Prolog', 'TensorFlow', 'Keras', 'Pytorch', 'Power BI', 'Tableau', 'Express', 'MongoDB', 'PostgreSQL', 'Oracle', 'Bootstrap', 'Node.js', 'CUDA', 'OpenCV', 'AWS', 'Docker', 'pandas', 'scikit-learn', 'NumPy', 'Seaborn', 'Matplotlib', 'Scipy', 'NLTK', 'Selenium', 'MySQL', 'LaTeX', 'Unity', 'GeoPandas', 'Langchain', 'HuggingFace Transformers', 'Ollama', 'Apache Spark']"
October 6 University,23,Engineering,Male,1,Mechatronics Engineering,Bachelor's,"['Data Analysis', 'ETL Pipeline', 'Data Modeling', 'DWH', 'SSIS', 'Power BI', 'Python Libraries (Matplotlib, Seaborn, Plotly)', 'ML', 'DL', 'RNN', 'LSTM', 'GRU', 'Attention Mechanism', 'Transformer', 'Vision Transformer', 'LLM', 'FineTuning', 'LLM[PEFT, LORA, QLORA]', 'RAG', 'Multi-Agent Systems', 'Mixture Of Experts', 'Vector Databases(FAISS, ChromaDB)', 'web scraping basics', 'Python', 'SQL', 'Object-Oriented Programming (OOP)', 'Data Structures', 'Algorithms', 'Git', 'Docker', 'Model Deployment (Streamlit, Flask API, Fast API)', 'Hugging face', 'Pytorch', 'NLTK', 'Sklearn', 'Tensorflow', 'OpenCV', 'Keras', 'ROS', 'Arduino', 'SolidWorks']"
Ain Shams University,22,Engineering,Male,0,Computer and Systems Engineering,Bachelor's,"['Machine/Deep Learning', 'MLOps', 'NLP', 'LLMs', 'RAG', 'Finetuning', 'data manipulation/preprocessing/visualization', 'feature engineering', 'models evaluation', 'AWS practitioner', 'CI/CD', 'Python', 'Langchain', 'LangGraph', 'LlamaIndex', 'PyTorch', 'TensorFlow', 'MLflow', 'Pinecone', 'ChromaDB', 'FAISS', 'Linux', 'FastAPI', 'Flask', 'SQLAlchemy', 'MySQL', 'MongoDB', 'Docker', 'Jenkins', 'Github', 'C++', 'C', 'Java']"
Shibin Elkom University,26,Computer Science,Female,2,Computer Science and AI,Master's,"['Python', 'SQL', 'Pandas', 'NumPy', 'SciPy', 'PostgreSQL', 'Vector Databases (FAISS, Pinecone, ChromaDB)', 'Google Cloud', 'Azure', 'AWS', 'MLflow', 'Kubeflow', 'Docker', 'FastAPI', 'Git', 'GitHub', 'Hugging Face', 'Kaggle', 'Colab']"
Kafr Elsheikh University,0,Other,Male,2,Artificial Intelligence,Bachelor's,"['Git', 'GitHub', 'Docker', 'CNN', 'RNN', 'Transformer', 'BERT', 'GPT-2', 'QWEN', 'Phi', 'ollama', 'Python', 'NLTK', 'Spacy', 'PyTorch', 'TensorFlow', 'SQL Server', 'PostgreSQL', 'MySQL', 'Azure Data Factory', 'Azure Synapse Analytics', 'Azure ML', 'Power BI', 'Tableau', 'Excel']"
Misr International University,22,Engineering,Male,1,Electronics and Communication Engineering,Bachelor's,"['Python', 'C++', 'TensorFlow', 'Keras', 'LLMs', 'PyTorch', 'SQL', 'Azure', 'NLP', 'Linux', 'Vector DB', 'CD/CI', 'Scikit learn', 'Chatbots', 'MLOps', 'NLU', 'Docker', 'GIT', 'Databricks', 'Dataiku', 'Spark', 'Agile', 'GCP', 'OCI', 'LlamaIndex', 'RAG', 'AWS', 'Feature Store', 'Mlflow', 'Deltalake', 'LangChain', 'Agents', 'LangGraph', 'CoT', 'Ethical AI', 'Algorithms', 'LLMOps', 'Prompt Engineering']"
Helwan University,26,Computer Science,Male,1,Artificial Intelligence,Bachelor's,"['Python', 'SQL', 'Machine Learning', 'Deep Learning', 'NLP', 'LLM', 'Generative AI', 'Computer Vision', 'Numpy', 'Pandas', 'Matplotlib', 'Scikit-Learn', 'TensorFlow & Keras', 'Hugging Face', 'PyTorch', 'NLTK', 'LangChain', 'Vectorstores', 'Git & GitHub', 'Streamlit', 'Microsoft Azure']"
,23,Engineering,Male,0,Computer Engineering,Bachelor's,"['Python', 'FastAPI', 'Streamlit', 'Django', 'SQL', 'MySQL', 'FAISS', 'ChromaDB', 'NumPy', 'Pandas', 'Matplotlib', 'PySpark', 'AirFlow', 'TensorFlow', 'Keras', 'PyTorch', 'scikit-learn', 'OpenCV', 'YOLO', 'Faster R-CNN', 'SSD', 'DETR', 'Transformers', 'BERT', 'NLTK', 'SpaCy', 'Gensim', 'MLflow', 'Docker', 'Git', 'GitHub', 'AWS', 'LangChain', 'LangGraph', 'OpenAI', 'Hugging Face', 'Crew AI', 'SmolAgent', 'LLaMA 3', 'Ollama', 'DeepSeek-R1']"
Nile University,22,Computer Science,Male,2,Computer Science,Bachelor's,"['Python', 'SQL', 'JavaScript', 'HTML', 'CSS', 'NumPy', 'Pandas', 'Matplotlib', 'Seaborn', 'LangChain', 'CrewAI', 'LlamaIndex', 'Scikit-learn', 'TensorFlow', 'Keras', 'PyTorch', 'Git', 'GitHub', 'Docker', 'Kubernetes', 'Postman', 'FastAPI', 'Data Modeling', 'Agile', 'Debugging', 'Exploratory Data Analysis', 'Mathematics', 'Probability and Statistics']"
Tafila Technical University,0,Engineering,Female,0,Intelligent Systems Engineering,Bachelor's,"['Supervised Learning', 'Deep Learning', 'NLP', 'Reinforcement Learning', 'Pandas', 'NumPy', 'Matplotlib', 'Seaborn', 'Flask', 'HTML', 'CSS', 'JavaScript', 'RESTful APIs', 'Arduino', 'Raspberry Pi', 'IoT', 'Embedded Systems', 'OpenCV', 'TensorFlow', 'Image Processing', 'Text Classification', 'Sentiment Analysis', 'Chatbots', 'AWS', 'Google Cloud', 'Docker', 'CI/CD', 'Git', 'GitHub', 'GitLab', 'Agile', 'Scrum', 'Jira', 'Basic Security Concepts', 'Cisco Networking', 'Leadership', 'Communication', 'Teamwork', 'Problem-Solving']"
Tanta University,0,Engineering,Male,0,Computer Engineering,Bachelor's,"['C++', 'Python', 'Data Structures', 'Algorithms', 'OOP', 'Competitive Programming', 'Problem Solving', 'NumPy', 'Pandas', 'Seaborn', 'Data Manipulation', 'Feature Engineering', 'Data Cleaning', 'Machine Learning Algorithms', 'XGBoost', 'Scikit-learn', 'Supervised Learning', 'Classification', 'Regression', 'Unsupervised Learning', 'Clustering', 'AutoGluon', 'Reinforcement Learning', 'Deep Learning', 'Pytorch', 'TensorFlow', 'Keras', 'ANN', 'CNN', 'Git', 'Github', 'SQL', 'Langchain', 'RAG', 'NLP', 'Chatbot', 'HuggingFace', 'Prompt Engineering', 'LLM Finetuning', 'AWS', 'Cloud Services', 'FastAPI', 'Flask', 'MongoDB', 'PostgreSQL', 'SQLAlchemy', 'Alembic', 'Qdrant', 'Ollama', 'Leadership']"
Cairo University,0,Engineering,Male,3,Aerospace Engineering,"MSc, BSc","['Convolution networks', 'depth-wise separable convolution', 'vision transformers', 'Image preprocessing', 'classification', 'object detection', 'segmentation', 'Statistical shape modeling (3D face morphable models)', 'Generative adversarial networks', 'autoencoders', 'Saliency maps', 'grad-cams', 'Regularization techniques (L1 & L2 – dropout – early stop)', 'Countering vanishing and exploding gradients techniques (batch normalization – gradient clipping)', 'Optimization algorithms (SGD – momemtum based SGD – adaptive learning rate SGD)', 'Distillation', 'One-shot learning', 'zero-shot learning', 'PyTorch', 'TorchVision', 'TensorFlow', 'TensorRT', 'DeepStream', 'Gstream', 'OpenVino', 'Docker', 'VSCode development containers', 'Hydra framework', 'LMDB', 'HDF5']"
Alexandria University,0,Engineering,Male,0,Electronics & Communication Engineering,Bachelor's,"['Python', 'SQL', 'Java', 'C++', 'C', 'Jupyter', 'PowerBI', 'MATLAB', 'Git', 'Numpy', 'Pandas', 'Scikit-learn', 'TensorFlow', 'NLP', 'ML', 'LLMs', 'ETL', 'LangChain']"
Helwan University,0,Computer Science,Female,0,Artificial Intelligence,Bachelor's,"['Python', 'C', 'C++', 'Java', 'OOP', 'Data Structures', 'Problem Solving', 'PHP', 'HTML', 'CSS', 'Javascript', 'Scikit-Learn', 'XGBoost', 'TensorFlow', 'PyTorch', 'Keras', 'Data Exploration', 'Data Preprocessing', 'Feature Engineering', 'Data Visualization', 'NLTK', 'SpaCy', 'Gensim', 'Speech Recognition', 'SQL', 'NoSQL', 'Hadoop', 'PySpark', 'Airflow', 'Hive', 'Kafka', 'Docker', 'DVC', 'MLflow', 'AWS', 'Git', 'GitHub', 'Linux', 'Selenium', 'UiPath', 'NumPy', 'Pandas', 'SciPy', 'Matplotlib', 'Seaborn', 'Plotly', 'Pickle', 'Optuna', 'Qiskit', 'Linear Algebra', 'Probability', 'Statistics', 'CNN', 'RNN', 'LSTM', 'GRU', 'VAE', 'GAN', 'Transformer', 'OpenCV', 'YOLO', 'Digital Image Processing', 'RAG', 'CAG', 'CoT', 'HuggingFace', 'LangChain', 'Vector DB', 'Prompt Engineering', 'Analysis', 'Forecasting', 'FastAPI', 'Flask', 'Streamlit', 'Render']"
Tanta University,0,Computer Science,Female,4,Computer Science,Bachelor's,"['Python', 'R', 'Java', 'C++', 'Dart', 'Kotlin', 'Exploratory Data Analysis', 'Data Visualization', 'Machine Learning', 'Deep Learning', 'Computer Vision', 'NLP', 'GNN', 'Conversational AI Agents', 'LLM Training', 'Image Processing', 'Video Processing', 'Database Design', 'SQL', 'MYSQL', 'MongoDB', 'Big Data', 'Apache Hadoop', 'Version Control Systems', 'Git', 'ML Frameworks', 'Tensorflow', 'Tensorboard', 'Pytorch', 'Scikit-learn', 'Keras', 'Cloud Computing', 'Microsoft Azure', 'Latex', 'Flutter', 'Android']"
Cairo University,0,Computer Science,Male,0,Artificial Intelligence,Bachelor's,"['Machine Learning', 'Deep Learning', 'Data Modeling', 'Data Preprocessing', 'Data Visualization', 'Multi Agents', 'LLMs', 'RAG', 'Fine-Tuning', 'ETL using SSIS', 'SSAS', 'Python', 'C++', 'Git', 'GitHub', 'Linux', 'Docker', 'MlFlow', 'Power BI', 'Microsoft 365', 'SQL', 'TensorFlow', 'Keras', 'PyTorch', 'NumPy', 'Pandas', 'Scikit-learn', 'Matplotlib', 'Plotly', 'Streamlit', 'Gradio']"
Ain Shams University,0,Engineering,Male,0,Computer and Systems Engineering,Bachelor's,"['Python', 'C', 'C++', 'Embedded C', 'C#', 'HTML/CSS', 'JavaScript', 'SQL', 'Data Science', 'Machine Learning', 'Deep Learning', 'NLP', 'Computer Vision', 'Prompt Engineering', 'Microsoft Azure AI Services', 'Linux', 'GitHub', 'LangChain']"
Cairo University,22,Computer Science,Male,0,Artificial Intelligence,Bachelor's,"['Python', 'SciKit-Learn', 'NLTK', 'TensorFlow', 'PyTorch', 'FastAPI', 'Beautiful Soup', 'Django', 'Gensim', 'Transformers', 'Keras', 'OpenCV', 'Swagger', 'Flask', 'LangChain', 'Streamlit', 'NumPy', 'Pandas', 'Matplotlib', 'Seaborn', 'C++', 'Java', 'SQL', 'Git/GitHub', 'Docker', 'Kubernetes', 'CI/CD Pipelines', 'Machine Learning', 'Deep Learning', 'OOP', 'Image Preprocessing', 'Transfer Learning', 'Natural Language Processing (NLP)', 'Data Augmentation', 'Web Scraping', 'Reinforcement Learning', 'Fine Tuning', 'Hyperparameter Tuning', 'Cloud Computing', 'Generative Models (GANs)', 'Retrieval-Augmented Generation (RAG)', 'Multi-Agent Systems']"
Benha University,22,Engineering,Male,1,,Bachelor's,"['Computer Vision', 'Deep Learning', 'Data Visualization', 'Python', 'numpy', 'pandas', 'matplotlis', 'seaborn', 'tensorflow', 'torch', 'open-cv', 'sklearn', 'opencv', 'mediapipe', 'nltk', 'Big Data', 'AI Infrastructure', 'Elasticsearch', 'NVIDIA Metropolis', 'DeepStream', 'Real-Time Video Analytics', 'Jupyter Notebooks', 'Git and Githup']"
Higher Institute of CS,22,Computer Science,Male,1,Data Scientist,Bachelor's,"['Machine Learning', 'Deep Learning', 'Python', 'SQL', 'Data analysis', 'Data Visualization', 'Data Cleaning', 'Microsoft Power BI', 'Scikit-learn', 'TensorFlow', 'Automation', 'Web Scraping', 'Web Development Frameworks', 'Django', 'Flask']"
Alexandria University,0,Computer Science,Female,2,Computer and Data Science,Bachelor's,"['Transformers/LLMs', 'Prompt Engineering', 'Fine-Tuning', 'FastAPI', 'Python/JavaScript', 'Odoo Development', 'Integration', 'RAG Systems', 'LangChain/DuckDB', 'AI Agents/Autonomous', 'Systems', 'SQL/PowerBI', 'Flask/Django']"
FAST National University of Computer and Emerging Sciences,0,Computer Science,Male,0,Computer Science,Bachelor's,"['Python', 'C', 'JavaScript (Node.js, React.js)', 'PyTorch', 'TensorFlow', 'Keras', 'Transformers', 'LangChain', 'FastAPI', 'Flask', 'MongoDB', 'SQL', 'Redis', 'Docker', 'Kubernetes', 'AWS EC2', 'CI/CD', 'Git', 'Postman', 'Pinecone', 'Weaviate', 'Vector Databases']"
Alamein International University,0,Computer Science,Male,1,Artificial Intelligence Science,Bachelor's,"['Python', 'Java', 'HTML', 'CSS', 'JavaScript', 'C', 'C++', 'SQL', 'R', 'Pytorch', 'TensorFlow', 'OpenCV', 'FastAPI', 'Ngrok', 'LangChain', 'HuggingFace', 'NLTK', 'Keras', 'Pandas', 'Numpy', 'Scikit-learn', 'Jupyter', 'Git', 'Flask', 'VsCode', 'AWS', 'Google Cloud']"
Arab Academy of Science and Technology,0,Computer Science,Female,1,Data Science,BSc,"['Python', 'C', 'Pandas', 'NumPy', 'Matplotlib', 'Seaborn', 'Plotly', 'Tableau', 'Power BI', 'Scikit-learn', 'TensorFlow', 'Keras', 'PyTorch', 'K-Means', 'Hierarchical Clustering', 'DBSCAN', 'OPTICS', 'Principal Component Analysis (PCA)', 'OpenCV', 'TensorFlow Object Detection API', 'YOLO', 'MySQL', 'MongoDB', 'Neo4j', 'Statistical tests', 'Regression analysis', 'Time series analysis', 'Feature engineering', 'Data cleaning', 'AWS (Amazon Web Services)', 'NLTK (Natural Language Toolkit)', 'spaCy']"
Cairo University,0,Engineering,Female,1,Electronics and Communication Engineering,Bachelor's,"['Machine learning', 'Deep learning', 'Data Analysis', 'Computer Vision', 'PyTorch', 'Keras', 'TensorFlow', 'Numpy', 'Pandas', 'LangChain', 'Web Scraping', 'NLP', 'Speech Recognition', 'Video Preprocessing', 'LLM Prompt Engineering', 'TTS']"
